Table/View Name,Column Name,Data Type,Nullable,Primary Key,Foreign Key,Constraints / Defaults,Description
telemetry.sessions,session_id,UUID,NO,YES,,,"Session UUID"
telemetry.sessions,session_name,TEXT,NO,NO,,,"User-defined session name"
telemetry.sessions,session_state,TEXT,NO,NO,,DEFAULT 'IDLE' CHECK (session_state IN ('IDLE' 'ARMED' 'LOGGING' 'ENDED')),"Current state of the session"
telemetry.sessions,ui_mode,TEXT,NO,NO,,DEFAULT 'DRIVER' CHECK (ui_mode IN ('DRIVER' 'SERVICE')),"UI screen mode"
telemetry.sessions,laps_planned,INTEGER,NO,NO,,DEFAULT 1,"Laps planned for the session"
telemetry.sessions,laps_completed,INTEGER,NO,NO,,DEFAULT 0,"Completed laps count"
telemetry.sessions,crossing_speed_threshold_kmh,DOUBLE PRECISION,NO,NO,,DEFAULT 0.5,"GPS crossing speed threshold"
telemetry.sessions,crossing_deadzone_ms,INTEGER,NO,NO,,DEFAULT 3000,"Deadzone period after crossing"
telemetry.sessions,crossing_heading_tolerance_deg,DOUBLE PRECISION,NO,NO,,DEFAULT 45.0,"Heading tolerance around target heading"
telemetry.sessions,vehicle_id,TEXT,YES,NO,,,"Identifier of the vehicle"
telemetry.sessions,driver_id,TEXT,YES,NO,,,"Identifier of the driver"
telemetry.sessions,armed_at_utc,TIMESTAMPTZ,YES,NO,,,"UTC timestamp of arming"
telemetry.sessions,started_at_utc,TIMESTAMPTZ,YES,NO,,,"UTC timestamp of starting"
telemetry.sessions,ended_at_utc,TIMESTAMPTZ,YES,NO,,,"UTC timestamp of ending"
telemetry.sessions,ended_reason,TEXT,YES,NO,,,"Reason why the session ended"
telemetry.sessions,start_lat,DOUBLE PRECISION,YES,NO,,,"Start location latitude"
telemetry.sessions,start_lon,DOUBLE PRECISION,YES,NO,,,"Start location longitude"
telemetry.sessions,notes,TEXT,YES,NO,,,"Session notes"
telemetry.sessions,config,JSONB,YES,NO,,,"Arbitrary configuration payload"
telemetry.sessions,created_at_utc,TIMESTAMPTZ,NO,NO,,DEFAULT now(),"Row creation timestamp"
telemetry.laps,session_id,UUID,NO,YES,telemetry.sessions(session_id),,"Reference to the session"
telemetry.laps,lap_number,INTEGER,NO,YES,,,"Lap sequence number"
telemetry.laps,started_at_utc,TIMESTAMPTZ,NO,NO,,,"UTC start time of the lap"
telemetry.laps,ended_at_utc,TIMESTAMPTZ,YES,NO,,,"UTC end time of the lap"
telemetry.laps,duration_ms,BIGINT,YES,NO,,,"Duration in milliseconds"
telemetry.laps,lap_phase,TEXT,YES,NO,,CHECK (lap_phase IS NULL OR lap_phase IN ('PRESTART_CHECK' 'RUNNING' 'CROSSING_CANDIDATE' 'CROSSING_DEADZONE' 'RESTART_ALLOWED' 'LAP_COMPLETE' 'SESSION_COMPLETE')),"Phase of the lap"
telemetry.laps,crossing_detected,BOOLEAN,NO,NO,,DEFAULT FALSE,"If crossing was detected"
telemetry.laps,crossing_valid,BOOLEAN,NO,NO,,DEFAULT FALSE,"If crossing was valid"
telemetry.laps,deadzone_applied,BOOLEAN,NO,NO,,DEFAULT FALSE,"If deadzone debounce was applied"
telemetry.laps,deadzone_ms,BIGINT,YES,NO,,,"Deadzone duration"
telemetry.laps,crossing_speed_kmh,DOUBLE PRECISION,YES,NO,,,"Crossing speed"
telemetry.laps,detection_method,TEXT,NO,NO,,,"How crossing was detected"
telemetry.laps,detection_confidence,REAL,YES,NO,,,"Confidence score"
telemetry.laps,crossing_lat,DOUBLE PRECISION,YES,NO,,,"Crossing latitude"
telemetry.laps,crossing_lon,DOUBLE PRECISION,YES,NO,,,"Crossing longitude"
telemetry.laps,crossing_heading_deg,REAL,YES,NO,,,"Crossing heading"
telemetry.laps,created_at_utc,TIMESTAMPTZ,NO,NO,,DEFAULT now(),"Row creation timestamp"
telemetry.telemetry_events,ts_wall_utc,TIMESTAMPTZ,NO,NO,,,"Wall-clock time of sample (Hypertable Key)"
telemetry.telemetry_events,session_id,UUID,NO,NO,telemetry.sessions(session_id),,"Reference to the session"
telemetry.telemetry_events,lap_number,INTEGER,YES,NO,,,"Lap number at sample time"
telemetry.telemetry_events,ts_session_ms,BIGINT,NO,NO,,,"Milliseconds elapsed in session"
telemetry.telemetry_events,session_state,TEXT,YES,NO,,CHECK (session_state IS NULL OR session_state IN ('IDLE' 'ARMED' 'LOGGING' 'ENDED')),"Session state"
